datetime,machineID,volt,rotate,pressure,vibration,failure
2015-01-05 06:00:00,1,179.30315305501,499.777962383718,111.833027646993,52.3830967199205,comp4
2015-03-06 06:00:00,1,198.257974581675,456.862342339469,89.3339950053984,38.6718999063224,comp1
2015-04-20 06:00:00,1,180.050800888506,346.362480252293,105.661163515464,39.2180547849819,comp2
2015-06-19 06:00:00,1,187.673963498493,493.005160103346,105.334392333578,53.9639607034682,comp4
2015-09-02 06:00:00,1,144.09453154472,409.380150100148,106.720870895748,57.4549899337191,comp4
2015-10-17 06:00:00,1,178.322427612404,383.71525553,79.704007684226,43.2134165642225,comp2
2015-12-16 06:00:00,1,137.701308228134,501.77065264881,108.55711064107,47.9602184786434,comp4
2015-03-19 06:00:00,2,179.277874469449,322.388169957166,118.15393419358,47.4158846916956,comp1
2015-03-19 06:00:00,2,179.277874469449,322.388169957166,118.15393419358,47.4158846916956,comp2
2015-04-18 06:00:00,2,173.166421521321,379.976048568712,101.382419121691,49.585501998223,comp2
2015-12-29 06:00:00,2,176.146239273177,317.711058731635,94.8454241454658,48.6792629843655,comp2
2015-01-05 06:00:00,1,179.30315305501,499.777962383718,111.833027646993,52.3830967199205,comp4
2015-03-06 06:00:00,1,198.257974581675,456.862342339469,89.3339950053984,38.6718999063224,comp1
2015-04-20 06:00:00,1,180.050800888506,346.362480252293,105.661163515464,39.2180547849819,comp2
2015-06-19 06:00:00,1,187.673963498493,493.005160103346,105.334392333578,53.9639607034682,comp4
2015-09-02 06:00:00,1,144.09453154472,409.380150100148,106.720870895748,57.4549899337191,comp4
2015-10-17 06:00:00,1,178.322427612404,383.71525553,79.704007684226,43.2134165642225,comp2
2015-12-16 06:00:00,1,137.701308228134,501.77065264881,108.55711064107,47.9602184786434,comp4
2015-03-19 06:00:00,2,179.277874469449,322.388169957166,118.15393419358,47.4158846916956,comp1
2015-03-19 06:00:00,2,179.277874469449,322.388169957166,118.15393419358,47.4158846916956,comp2
2015-04-18 06:00:00,2,173.166421521321,379.976048568712,101.382419121691,49.585501998223,comp2
2015-12-29 06:00:00,2,176.146239273177,317.711058731635,94.8454241454658,48.6792629843655,comp2
2015-01-07 06:00:00,3,153.083073463033,269.430591178269,100.675294769474,44.9593428314929,comp2
2015-02-06 06:00:00,3,171.461889571255,431.490018640035,110.075129751894,40.3973407657553,comp1
2015-07-21 06:00:00,3,162.873937139551,352.119185743015,89.3915601947113,38.5134972447327,comp2
2015-10-04 06:00:00,3,192.011346653049,356.046301550486,98.3643535533048,37.0501099283537,comp2
2015-12-03 06:00:00,3,160.936267810774,368.843963891831,127.945450101091,42.3241913995408,comp2
2015-01-17 06:00:00,4,160.688783907512,360.961004421631,89.4398084661615,32.6862581446711,comp2
2015-02-16 06:00:00,4,235.493717474492,488.515673410068,94.2896968202261,28.0617412487823,comp1
2015-04-02 06:00:00,4,148.204346974561,247.94654231854,102.790543539109,41.1582243174715,comp2
2015-07-16 06:00:00,4,176.671291391767,399.973864308608,85.9879426834873,35.9144914565244,comp2
2015-08-30 06:00:00,4,184.624796893938,486.118809742995,93.6911936842653,37.3134052057809,comp1
2015-10-14 06:00:00,4,193.485427457637,318.474839611204,93.2200850487117,41.1437655047783,comp2
2015-01-09 06:00:00,5,155.392685682217,474.092306904441,104.197016061125,32.8851267606045,comp2
2015-02-23 06:00:00,5,182.358829939846,426.861047603615,86.7653897990048,39.1302907884881,comp1
2015-04-09 06:00:00,5,214.054607826111,552.736653146183,105.245765398394,53.13133838074,comp1
2015-06-23 06:00:00,5,175.168788444279,319.808275407719,108.019570309896,38.1075561926604,comp2
2015-09-06 06:00:00,5,200.940093864084,265.528620810836,107.253454299651,41.048036879996,comp1
2015-10-06 06:00:00,5,174.51472730929,352.926777250628,101.987307086883,46.5293045034706,comp2
2015-11-20 06:00:00,5,226.420623851432,474.241388580299,102.176490650822,44.7391599741576,comp1
2015-01-24 06:00:00,7,173.147583528072,375.349784328684,97.7997762638955,48.752200832329,comp2
2015-01-24 06:00:00,7,173.147583528072,375.349784328684,97.7997762638955,48.752200832329,comp4
2015-02-08 06:00:00,7,205.006006081928,469.073488126084,108.385623120448,37.7043754983426,comp1
2015-04-24 06:00:00,7,217.932133334202,402.807980836329,92.883737995281,45.9670153494316,comp1
2015-05-09 06:00:00,7,175.254719862039,348.0397469573,87.5906047186147,50.0861160122253,comp4
2015-05-24 06:00:00,7,184.217377797297,427.750822224626,94.3357867351991,40.3805719838454,comp2
2015-07-08 06:00:00,7,161.590882430236,350.443582011321,99.7689769626619,45.307469368685,comp2
2015-09-21 06:00:00,7,172.816630108562,451.410689881812,90.9195116194576,52.6024821532351,comp4
2015-10-21 06:00:00,7,182.063094168322,304.45402158642,101.973423309082,48.2426859371821,comp2
2015-12-20 06:00:00,7,199.315131190654,515.347571352448,107.900203699662,39.3218714893641,comp1
2015-01-07 06:00:00,3,153.083073463033,269.430591178269,100.675294769474,44.9593428314929,comp2
2015-02-06 06:00:00,3,171.461889571255,431.490018640035,110.075129751894,40.3973407657553,comp1
2015-07-21 06:00:00,3,162.873937139551,352.119185743015,89.3915601947113,38.5134972447327,comp2
2015-10-04 06:00:00,3,192.011346653049,356.046301550486,98.3643535533048,37.0501099283537,comp2
2015-12-03 06:00:00,3,160.936267810774,368.843963891831,127.945450101091,42.3241913995408,comp2
2015-01-17 06:00:00,4,160.688783907512,360.961004421631,89.4398084661615,32.6862581446711,comp2
2015-02-16 06:00:00,4,235.493717474492,488.515673410068,94.2896968202261,28.0617412487823,comp1
2015-04-02 06:00:00,4,148.204346974561,247.94654231854,102.790543539109,41.1582243174715,comp2
2015-07-16 06:00:00,4,176.671291391767,399.973864308608,85.9879426834873,35.9144914565244,comp2
2015-08-30 06:00:00,4,184.624796893938,486.118809742995,93.6911936842653,37.3134052057809,comp1
2015-10-14 06:00:00,4,193.485427457637,318.474839611204,93.2200850487117,41.1437655047783,comp2
2015-01-09 06:00:00,5,155.392685682217,474.092306904441,104.197016061125,32.8851267606045,comp2
2015-02-23 06:00:00,5,182.358829939846,426.861047603615,86.7653897990048,39.1302907884881,comp1
2015-04-09 06:00:00,5,214.054607826111,552.736653146183,105.245765398394,53.13133838074,comp1
2015-06-23 06:00:00,5,175.168788444279,319.808275407719,108.019570309896,38.1075561926604,comp2
2015-09-06 06:00:00,5,200.940093864084,265.528620810836,107.253454299651,41.048036879996,comp1
2015-10-06 06:00:00,5,174.51472730929,352.926777250628,101.987307086883,46.5293045034706,comp2
2015-11-20 06:00:00,5,226.420623851432,474.241388580299,102.176490650822,44.7391599741576,comp1
2015-01-24 06:00:00,7,173.147583528072,375.349784328684,97.7997762638955,48.752200832329,comp2
2015-01-24 06:00:00,7,173.147583528072,375.349784328684,97.7997762638955,48.752200832329,comp4
2015-02-08 06:00:00,7,205.006006081928,469.073488126084,108.385623120448,37.7043754983426,comp1
2015-04-24 06:00:00,7,217.932133334202,402.807980836329,92.883737995281,45.9670153494316,comp1
2015-05-09 06:00:00,7,175.254719862039,348.0397469573,87.5906047186147,50.0861160122253,comp4
2015-05-24 06:00:00,7,184.217377797297,427.750822224626,94.3357867351991,40.3805719838454,comp2
2015-07-08 06:00:00,7,161.590882430236,350.443582011321,99.7689769626619,45.307469368685,comp2
2015-09-21 06:00:00,7,172.816630108562,451.410689881812,90.9195116194576,52.6024821532351,comp4
2015-10-21 06:00:00,7,182.063094168322,304.45402158642,101.973423309082,48.2426859371821,comp2
2015-12-20 06:00:00,7,199.315131190654,515.347571352448,107.900203699662,39.3218714893641,comp1
2015-03-07 06:00:00,8,186.11120106828,272.846522586898,100.144287790199,38.7862081047267,comp2
2015-03-22 06:00:00,8,145.107914378589,508.79760555563,107.481496599419,53.1709952814655,comp4
2015-04-21 06:00:00,8,181.265334188046,396.334832050852,90.6406842035847,40.7906580622092,comp2
2015-08-04 06:00:00,8,165.084955522972,359.427762784239,92.7975971823227,52.6329966669689,comp4
2015-10-18 06:00:00,8,156.997810985229,420.111487346487,104.661847793508,54.4766990875198,comp4
2015-03-04 06:00:00,9,172.514518752974,382.500782165314,79.0880613325222,37.5894927774576,comp1
2015-06-17 06:00:00,9,163.033427587325,359.400518418149,94.0078361606377,37.4471132197432,comp2
2015-07-02 06:00:00,9,185.41059990056,414.882036446275,108.605358468272,33.6628647198196,comp1
2015-07-17 06:00:00,9,165.619223641689,385.168508558706,99.1544957890038,33.6930473712395,comp2
2015-08-31 06:00:00,9,188.06703298181,510.053531088317,74.2393262387079,28.6490232420779,comp2
